사용월,호선명,역ID,지하철역,승차승객수,하차승객수
21.Dec,9호선2~3단계,649,석촌고분,165169 ,163571 
21.Dec,9호선2~3단계,650,석촌,227920 ,200119 
21.Dec,9호선2~3단계,651,송파나루,140890 ,150363 
21.Dec,9호선2~3단계,652,한성백제,68693 ,62275 
21.Dec,9호선2~3단계,653,올림픽공원(한국체대),197665 ,193007 
21.Dec,9호선2~3단계,654,둔촌오륜,30608 ,28665 
21.Dec,9호선2~3단계,655,중앙보훈병원,263745 ,233297 
21.Dec,우이신설선,713,북한산우이,76806 ,70898 
21.Dec,우이신설선,714,솔밭공원,65729 ,62707 
21.Dec,우이신설선,715,4.19민주묘지,76995 ,72576 
21.Dec,우이신설선,716,가오리,110011 ,108434 
21.Dec,우이신설선,717,화계,91530 ,85751 
21.Dec,우이신설선,718,삼양,55187 ,58679 
21.Dec,우이신설선,719,삼양사거리,66532 ,66982 
21.Dec,우이신설선,720,솔샘,154156 ,143618 
21.Dec,우이신설선,721,북한산보국문,162606 ,153956 
21.Dec,우이신설선,722,정릉,124880 ,113381 
21.Dec,우이신설선,723,성신여대입구(돈암),91571 ,101326 
21.Dec,우이신설선,724,보문,41012 ,41211 
21.Dec,우이신설선,725,신설동,55769 ,54272 
