사용월,호선명,역ID,지하철역,승차승객수,하차승객수
21.Dec,5호선,437,강일,102811 ,102355 
21.Dec,5호선,438,미사,431245 ,428131 
21.Dec,5호선,439,하남풍산,112111 ,113368 
21.Dec,5호선,440,하남시청(덕풍·신장),172242 ,169206 
21.Dec,5호선,441,하남검단산,154042 ,148985 
21.Dec,6호선,442,응암,474220 ,469342 
21.Dec,6호선,443,역촌,105029 ,122630 
21.Dec,6호선,444,불광,120242 ,115951 
21.Dec,6호선,445,독바위,72485 ,77514 
21.Dec,6호선,446,연신내,26 ,0 
21.Dec,6호선,447,구산,206408 ,155261 
21.Dec,6호선,448,새절(신사),340258 ,318125 
21.Dec,6호선,449,증산(명지대앞),273482 ,270251 
21.Dec,6호선,450,디지털미디어시티,352063 ,380969 
21.Dec,6호선,451,월드컵경기장(성산),105825 ,113939 
21.Dec,6호선,452,마포구청,387222 ,349396 
21.Dec,6호선,453,망원,389337 ,420861 
21.Dec,6호선,454,합정,366767 ,356619 
21.Dec,6호선,455,상수,237216 ,268318 
21.Dec,6호선,456,광흥창(서강),236154 ,229786 
21.Dec,6호선,457,대흥(서강대앞),210013 ,215064 
21.Dec,6호선,458,공덕,474616 ,459459 
21.Dec,6호선,459,효창공원앞,185437 ,167339 
21.Dec,6호선,460,삼각지,167620 ,146560 
21.Dec,6호선,461,녹사평(용산구청),134843 ,137589 
21.Dec,6호선,462,이태원,287934 ,304341 
21.Dec,6호선,463,한강진,248712 ,284852 
21.Dec,6호선,464,버티고개,52156 ,54141 
21.Dec,6호선,465,약수,96230 ,95925 
21.Dec,6호선,466,청구,99472 ,104122 
21.Dec,6호선,467,신당,235303 ,238785 
21.Dec,6호선,468,동묘앞,218167 ,220440 
21.Dec,6호선,469,창신,93625 ,77650 
21.Dec,6호선,470,보문,196834 ,180578 
21.Dec,6호선,471,안암(고대병원앞),276823 ,272880 
21.Dec,6호선,472,고려대(종암),208222 ,199375 
21.Dec,6호선,473,월곡(동덕여대),303983 ,300668 
21.Dec,6호선,474,상월곡(한국과학기술연구원),166029 ,147212 
21.Dec,6호선,475,돌곶이,249317 ,232427 
21.Dec,6호선,476,석계,328874 ,339848 
21.Dec,6호선,477,태릉입구,146992 ,159064 
21.Dec,6호선,478,화랑대(서울여대입구),307282 ,242578 
21.Dec,6호선,479,봉화산(서울의료원),232697 ,218504 
21.Dec,6호선,480,신내,8 ,0 
21.Dec,7호선,481,장암,60394 ,25476 
21.Dec,7호선,482,도봉산,246864 ,288282 
21.Dec,7호선,483,수락산,342425 ,334101 
21.Dec,7호선,484,마들,343833 ,327092 
